year,award_no,date,location,pressented_by,category,honorary_reason,film,song,winner,speech
1951,24,1952-03-20,RKO Pantages Theatre,George Sanders,Actress in a Supporting Role,NA,A Streetcar Named Desire,NA,Kim Hunter,"BETTE DAVIS:
 I wish I were Kim Hunter tonight. I've been asked to pick up her award for her. I know if she were here tonight she would say: How wonderful, how grateful, and thank you very much. Where is her award? [She is given the Oscar.] I will tell her of your applause.
"
1951,24,1952-03-20,RKO Pantages Theatre,Joseph L. Mankiewicz,Directing,NA,A Place in the Sun,NA,George Stevens,"GEORGE STEVENS:
 Excluding Mr. Hornbeck, and Miss Head, and Mr. Brown, and Mr. Wilson, and Mr. Waxman, and Mr. Mellor, I'd like to say thank you to all of those other talented people that brought us here tonight. Thank you.
"
1951,24,1952-03-20,RKO Pantages Theatre,Jesse L. Lasky,Best Motion Picture,NA,An American in Paris,NA,"Arthur Freed, Producer","ARTHUR FREED:
 Thank you. And thank you from my brilliant associates who made this possible: Vincente Minnelli, Gene Kelly, and a great studio with real courage and leadership who supported me. Thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Janet Gaynor,Actor,NA,High Noon,NA,Gary Cooper,"JOHN WAYNE:
 Ladies and gentlemen, I'm glad to see that they're giving this to a man who is not only most deserving but has conducted himself throughout his years in our business in a manner that we can all be proud of him. Coop and I have been friends, hunting and fishing, for more years than I like to remember. He's one of the nicest fellows I know. I don't know anybody any nicer. And our kinship goes further than that friendship because we both fell off of horses into pictures together. Now that I'm through being such a good sport, spouted all this good sportsmanship, I'm gonna go back and find my business manager, and agent, and producer, and three-name writer, and find out why I didn't get ""High Noon"" instead of Cooper. Cause I can't fire any of these very expensive fellows, but I can at least run my 1930's Chevrolet into one of their big black new Cadillacs.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Greer Garson,Actor in a Supporting Role,NA,Viva Zapata!,NA,Anthony Quinn,"KATHERINE DeMILLE:
 I can hardly believe I'm here. I'm sorry that Tony couldn't be here but when I let him know today by telephone I know he'll be a very happy man. Thank you very much.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Ronald Colman,Actress,NA,"Come Back, Little Sheba",NA,Shirley Booth,"SHIRLEY BOOTH (in New York):
 Thank you. Thank you, everybody. I'm a very happy and a very lucky girl. My luck has many, many names. I won't attempt to list them all. All you have to do is look at the screen credits and you'll know what I mean. I never could have done it alone. You know I couldn't. It's been a long, long climb. I guess this is the peak, but the view has been wonderful all along the way. I want to thank my old friends for their faith, my new friends for their hope, and everyone for their charity. Thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Edmund Gwenn,Actress in a Supporting Role,NA,The Bad and the Beautiful,NA,Gloria Grahame,"GLORIA GRAHAME:
 Thank you very much.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),"Joan Fontaine, James Stewart",Art Direction (Black-and-White),": , ; : B. ,",NA,NA,Art Direction Cedric Gibbons Edward Carfagno Set Decoration Edwin Willis Keogh Gleason,"KEOGH GLEASON:
 I would like to accept for Edwin B. Willis and thank Vincente Minnelli for his inspiration.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),"Joan Fontaine, James Stewart",Art Direction (Color),: ; :,NA,NA,Art Direction Paul Sheriff Set Decoration Marcel Vertes,"JAMES WOOLF:
 Thank you very much on behalf of Mr. Paul Sheriff.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Teresa Wright,Cinematography (Black-and-White),,NA,NA,Robert Surtees,"ROBERT SURTEES:
 Thank everybody very much.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Teresa Wright,Cinematography (Color),"C. ,",NA,NA,Winton Hoch Archie Stout,"WINTON C. HOCH:
 Thank you very much.

 ARCHIE STOUT:
 I thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Ginger Rogers,Costume Design (Black-and-White),,NA,NA,Helen Rose,NA
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Ginger Rogers,Costume Design (Color),,NA,NA,Marcel Vertes,"JAMES WOOLF:
 On behalf of Marcel Vertes, thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Olivia de Havilland,Directing,NA,The Quiet Man,NA,John Ford,"JOHN WAYNE:
 I keep remembering ""Stagecoach,"" ""Long Voyage Home,"" ""She Wore a Yellow Ribbon"" and many other pictures that Mr. Ford directed me in. Naturally, as a ham, I'd remember the things that I was in, but I also remember ""How Green Was My Valley,"" and ""The Informer,"" ""The Grapes of Wrath,"" and other pictures. It makes me very grateful that he asked me to be his proxy and accept this award – not to receive the money, but the award for it. I'll take it to his home on Odin Street, a place he's lived in for thirty-five years, and proudly place this on his mantle with five other previous Academy Awards.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Jean Hersholt,Documentary (Feature),",",NA,NA,Irwin Allen Producer,NA
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Jean Hersholt,Documentary (Short Subject),NA,Neighbours,NA,"Norman McLaren, Producer","VICTOR E. DUCLOS:
 Thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Frank Capra,Film Editing,",",NA,NA,Elmo Williams Harry Gerstad,"ELMO WILLIAMS:
 Thank you very much, everybody.

 HARRY GERSTAD:
 Thank you, ladies and gentlemen.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Walt Disney,Music (Music Score of a Dramatic or Comedy Picture),NA,High Noon,NA,Dimitri Tiomkin,"DIMITRI TIOMKIN:
 Thank you very much. Thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Walt Disney,Music (Scoring of a Musical Picture),NA,With a Song in My Heart,NA,Alfred Newman,"ALFRED NEWMAN:
 Thank you very much.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Walt Disney,Music (Song),NA,High Noon,"""High Noon (Do Not Forsake Me, Oh My Darlin')""",Music by Dimitri Tiomkin; Lyrics by Ned Washington,"NED WASHINGTON:
 Thank you, every one of you, very much.

 DIMITRI TIOMKIN:
 I feel like a mother of the wonderful twins.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Mary Pickford,Best Motion Picture,NA,The Greatest Show on Earth,NA,"Cecil B. DeMille, Producer","CECIL B. DeMILLE:
 Well, Mary, to take this from you means a great deal to me. Remember, we were juveniles together in Belasco's ""Warrens of Virginia"" just about the time Noah started that craft – I've forgotten what it was.

 MARY PICKFORD:
 Pardon me while I braid my long white beard.

 CECIL B. DeMILLE:
 On behalf of the thousands that it took to make ""The Greatest Show on Earth"" I thank you for them. For the stars, and the electricians, for the circus people, for their bravery. It was a very thrilling thing to see stars like Betty Hutton and Gloria Grahame, Cornel Wilde and Jimmy Stewart, and Chuck Heston – those people risked their lives, as did the thousands of others who were in the circus – and the audiences all through the trip. I thank you for all of them because I am only one little link in a chain that produced that picture. And I'm very happy for them. Thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),"Jane Wyman, Ray Milland",Short Subject (Cartoon),",",NA,NA,Fred Quimby Producer,"FRED QUIMBY:
 Thank you, our friends. And I want to congratulate the directors of the ""Tom and Jerry"" cartoons: Bill Hanna and Joe Barbera. Thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),"Jane Wyman, Ray Milland",Short Subject (One-reel),",",NA,NA,Boris Vermont Producer,NA
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),"Jane Wyman, Ray Milland",Short Subject (Two-reel),NA,Water Birds,NA,"Walt Disney, Producer",NA
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Claire Trevor,Sound Recording,,NA,NA,London Film Sound Department,"STEWART GRANGER:
 On behalf of London Films, I thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),"March 19, 1953; RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City)",Special Effects,--,NA,NA,Metro Goldwyn Mayer,NA
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Dore Schary,Writing (Motion Picture Story),"M. , . ,",NA,NA,Fredric Frank Theodore St John Frank Cavett,"FREDRIC M. FRANK:
 Thank you. For me, I'm overwhelmed. I've been asked to accept for Mr. St. John who is, unfortunately, unable to be here this evening.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Dore Schary,Writing (Screenplay),,NA,NA,Charles Schnee,"CHARLES SCHNEE:
 Thank you very much.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Dore Schary,Writing (Story and Screenplay),T. E. B.,NA,NA,Clarke,"PIPER LAURIE:
 Thank you. On behalf of Mr. Clarke, I thank you.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),Luise Rainer,Honorary Foreign Language Film Award,NA,Forbidden Games,NA,France,"JACQUES BERGERAC:
 Thank you. Thank you very much.
"
1952,25,1953-03-19,RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City),"March 19, 1953; RKO Pantages Theatre (Hollywood) / NBC International Theatre (New York City)",Honorary Award,for the design and development of the camera which bears his name and for his continued and dominant presence in the field of cinematography.,NA,NA,George Alfred Mitchell,NA
